Event_Type,Total_Days,Includes_Weekend,Time_Period,Actual_Attendance
Exhibition,4,0,Morning,11278
Exhibition,4,0,Morning,14000
Workshop,2,0,Morning,50
Entertainment,1,0,Morning,40
Entertainment,1,0,Morning,25
Conference,3,1,Morning,380
Workshop,1,0,Evening,30
Seminar,1,0,Morning,75
Meeting,1,0,Evening,12
Exhibition,3,1,Morning,4650
Festival,2,1,Evening,1620
Course,10,1,Evening,22
Workshop,2,1,Morning,38
Seminar,2,0,Morning,95
Conference,1,0,Morning,160
Entertainment,1,1,Evening,540
Exhibition,5,1,Morning,7300
Workshop,1,0,Morning,28
Meeting,1,0,Morning,10
Course,5,0,Morning,17
Exhibition,4,0,Morning,880
Exhibition,4,0,Morning,21500
Conference,2,0,Morning,150
Course,3,1,Morning,18
Workshop,1,1,Morning,35
Course,4,0,Morning,15
Workshop,2,0,Morning,45
Workshop,1,0,Morning,55
Exhibition,4,0,Morning,16500
Exhibition,6,1,Morning,12000
Course,5,0,Morning,28
Seminar,1,1,Evening,135
Workshop,3,0,Morning,38
Conference,2,1,Morning,275
Exhibition,5,1,Evening,9200
Entertainment,2,1,Evening,1050
Meeting,1,0,Morning,18
Festival,3,1,Evening,3200
Workshop,1,0,Evening,20
Course,14,1,Evening,45
Seminar,1,0,Morning,70
Exhibition,7,1,Morning,23500
Conference,1,0,Morning,120
Entertainment,1,1,Morning,190
Workshop,2,1,Morning,35
Meeting,1,0,Evening,10
Festival,1,1,Evening,4800
Course,7,0,Morning,32
Seminar,2,1,Morning,210
Exhibition,3,0,Morning,7500
Festival,3,1,Evening,1550
