Event_Type,Total_Days,Includes_Weekend,Time_Period,Actual_Attendance
Exhibition,4,0,Morning,11278
Exhibition,4,0,Morning,14000
Workshop,2,0,Morning,50
Entertainment,1,0,Morning,40
Entertainment,1,0,Morning,25
Conference,3,1,Morning,380
Workshop,1,0,Evening,30
Seminar,1,0,Morning,75
Meeting,1,0,Evening,12
Exhibition,3,1,Morning,4650
Festival,2,1,Evening,1620
Course,10,1,Evening,22
Workshop,2,1,Morning,38
Seminar,2,0,Morning,95
Conference,1,0,Morning,160
Entertainment,1,1,Evening,540
Exhibition,5,1,Morning,7300
Workshop,1,0,Morning,28
Meeting,1,0,Morning,10
Course,5,0,Morning,17
Exhibition,4,0,Morning,880
Exhibition,4,0,Morning,21500
Conference,2,0,Morning,150
Course,3,1,Morning,18
Workshop,1,1,Morning,35
Course,4,0,Morning,15
Workshop,2,0,Morning,45
Workshop,1,0,Morning,55
Exhibition,4,0,Morning,16500
Exhibition,6,1,Morning,12000
Course,5,0,Morning,28
Seminar,1,1,Evening,135
Workshop,3,0,Morning,38
Conference,2,1,Morning,275
Exhibition,5,1,Evening,9200
Entertainment,2,1,Evening,1050
Meeting,1,0,Morning,18
Festival,3,1,Evening,3200
Workshop,1,0,Evening,20
Course,14,1,Evening,45
Seminar,1,0,Morning,70
Exhibition,7,1,Morning,23500
Conference,1,0,Morning,120
Entertainment,1,1,Morning,190
Workshop,2,1,Morning,35
Meeting,1,0,Evening,10
Festival,1,1,Evening,4800
Course,7,0,Morning,32
Seminar,2,1,Morning,210
Exhibition,3,0,Morning,7500
Festival,3,1,Evening,1550
Workshop,1,1,Evening,14
Exhibition,5,0,Morning,19861
Conference,2,1,Morning,234
Workshop,3,0,Evening,61
Exhibition,6,0,Morning,12098
Exhibition,6,0,Morning,17539
Workshop,2,1,Morning,34
Course,5,0,Morning,23
Conference,2,0,Morning,240
Seminar,2,0,Evening,132
Entertainment,2,1,Evening,1102
Meeting,1,0,Morning,15
Entertainment,1,1,Evening,527
Exhibition,3,0,Morning,7414
Exhibition,5,1,Morning,17151
Festival,2,1,Evening,3680
Entertainment,2,1,Morning,467
Entertainment,2,0,Evening,224
Exhibition,5,0,Morning,13394
Course,12,1,Morning,61
Exhibition,3,1,Morning,8865
Workshop,3,1,Evening,56
Entertainment,1,1,Evening,545
Meeting,1,0,Morning,19
Meeting,1,0,Evening,13
Exhibition,3,0,Morning,9300
Workshop,3,1,Morning,47
Exhibition,6,1,Morning,16906
Workshop,1,0,Morning,22
Conference,3,0,Morning,331
Exhibition,3,0,Morning,7957
Entertainment,2,1,Evening,942
Festival,3,1,Evening,5037
Workshop,2,0,Morning,44
Exhibition,3,1,Morning,10933
Workshop,3,0,Evening,71
Workshop,3,1,Morning,70
Exhibition,6,0,Morning,15626
Course,12,1,Morning,49
Course,4,0,Evening,21
Entertainment,2,0,Morning,86
Meeting,1,0,Evening,11
Entertainment,1,0,Evening,105
Workshop,1,0,Morning,35
Exhibition,4,0,Morning,10788
Exhibition,5,0,Morning,12362
Exhibition,5,0,Morning,14438
Course,10,0,Evening,42
Course,14,0,Evening,59
Entertainment,2,0,Morning,47
Festival,1,1,Evening,1621
Entertainment,2,0,Morning,42
Workshop,3,0,Morning,60
Meeting,1,0,Morning,10
Exhibition,4,1,Morning,14832
Exhibition,7,1,Morning,19587
Workshop,1,1,Morning,17
Exhibition,6,0,Morning,17964
Entertainment,2,0,Morning,100
Workshop,2,0,Morning,35
Exhibition,5,1,Morning,13082
Entertainment,2,0,Morning,78
Workshop,3,0,Evening,66
Workshop,1,0,Morning,29
Conference,2,1,Evening,223
Workshop,2,0,Morning,61
Workshop,2,0,Morning,56
Entertainment,1,1,Evening,658
Exhibition,3,1,Morning,8740
Festival,1,1,Morning,806
Course,9,0,Morning,40
Festival,2,1,Morning,1916
Festival,1,1,Evening,1609
Festival,3,1,Evening,4430
Entertainment,1,1,Evening,480
Festival,2,1,Evening,3230
Exhibition,4,1,Morning,15781
Workshop,2,1,Evening,27
Workshop,2,0,Morning,56
Seminar,1,0,Morning,91
Entertainment,1,0,Morning,43
Workshop,2,0,Morning,47
Conference,3,0,Morning,398
Seminar,2,1,Morning,164
Exhibition,7,0,Morning,20248
Festival,3,1,Morning,2709
Exhibition,6,1,Morning,21789
Seminar,1,0,Evening,74
Festival,2,1,Evening,2341
Exhibition,4,0,Evening,9293
Seminar,2,0,Morning,181
Exhibition,7,1,Morning,25907
Meeting,1,0,Morning,16
Workshop,3,0,Morning,91
Conference,2,0,Morning,249
Course,12,0,Evening,50
Seminar,1,0,Morning,79
Workshop,1,1,Evening,19
Exhibition,7,1,Evening,21117
Exhibition,5,0,Morning,13537
Exhibition,3,0,Morning,10239
Meeting,1,1,Morning,15
Festival,2,1,Evening,2332
Course,12,1,Morning,42
Workshop,3,0,Morning,93
Conference,1,1,Morning,103
Festival,3,1,Evening,4951
Meeting,1,1,Morning,10
Workshop,1,0,Evening,27
Workshop,3,0,Evening,58
Course,5,1,Morning,21
Course,7,0,Morning,31
Seminar,1,0,Morning,69
Workshop,1,0,Morning,23
Conference,2,0,Morning,277
Seminar,1,0,Evening,92
Festival,2,1,Evening,3266
Conference,3,0,Morning,505
Festival,2,1,Evening,3418
Workshop,2,0,Evening,43
Workshop,2,0,Evening,31
Course,4,0,Morning,19
Exhibition,5,1,Morning,11764
Workshop,3,0,Morning,86
Festival,1,1,Morning,821
Exhibition,7,0,Morning,15603
Workshop,2,0,Morning,52
Seminar,1,0,Morning,82
Exhibition,7,1,Evening,20929
Festival,3,1,Evening,3558
Entertainment,1,1,Evening,535
Meeting,1,0,Morning,13
Meeting,1,0,Morning,16
Exhibition,3,0,Morning,7229
Course,11,0,Morning,63
Course,6,0,Morning,32
Seminar,1,0,Morning,93
Entertainment,1,1,Evening,466
Entertainment,1,1,Morning,180
Meeting,1,0,Evening,10
Exhibition,3,1,Morning,9869
Exhibition,4,0,Evening,9889
Exhibition,3,0,Evening,8434
Course,12,1,Evening,48
Exhibition,6,1,Morning,16750
Entertainment,2,1,Evening,929
Festival,1,1,Morning,754
Exhibition,6,1,Morning,17054
Exhibition,7,1,Morning,33163
Seminar,1,0,Evening,57
Festival,2,0,Evening,1954
Festival,2,1,Evening,2079
Seminar,1,1,Morning,75
Conference,2,0,Morning,242
Entertainment,2,0,Morning,59
Workshop,3,0,Morning,47
Workshop,3,0,Morning,83
Exhibition,5,0,Morning,15789
Exhibition,7,0,Evening,20688
Seminar,1,1,Morning,83
Seminar,1,0,Morning,45
Course,6,0,Evening,28
Exhibition,6,0,Evening,19573
Course,13,0,Evening,65
Festival,2,1,Evening,3372
